Designator,Mid X,Mid Y,Rotation,Layer
C1,97.5,-103.3125,180.0,top
C10,86.8875,-96.8325,90.0,top
C11,86.8875,-98.8125,90.0,top
C12,104.7,-100.35,0.0,top
C13,109.95,-105.6,90.0,top
C2,101.0,-94.995,270.0,top
C3,92.6,-91.6,0.0,top
C4,88.8875,-94.3125,90.0,top
C5,92.6,-89.8125,0.0,top
C6,89.0,-98.6,90.0,top
C7,88.3875,-101.7925,180.0,top
C8,88.3875,-103.3125,180.0,top
C9,92.8875,-103.5625,0.0,top
D1,112.2,-105.35,270.0,top
D2,79.0,-89.6125,90.0,top
D3,77.0,-89.6125,90.0,top
FB1,90.3875,-102.8125,270.0,top
FID1,109.8,-112.5,0.0,top
FID2,99.0,-86.6,0.0,top
FID3,76.6,-98.8,0.0,top
J1,113.145,-96.24,90.0,top
J2,104.31,-81.75,270.0,top
J3,93.31,-112.2,270.0,top
J4,80.27,-112.2,270.0,top
J6,68.0,-109.98,90.0,top
J7,87.0,-82.0,270.0,top
R1,68.75,-85.0,0.0,top
R2,105.6,-95.7,270.0,top
R3,112.2,-102.6,270.0,top
R4,82.0,-109.7,0.0,top
R5,78.5,-109.7,180.0,top
R6,79.01,-86.8625,270.0,top
R7,77.0,-86.8625,270.0,top
R8,91.2,-85.5,0.0,top
R9,93.8,-85.5,0.0,top
SW1,68.75,-81.53,180.0,top
U1,95.05,-97.5625,270.0,top
U2,104.95,-105.95,90.0,top
Y1,84.3875,-97.8125,270.0,top
