Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C9",0402,5,100n,C309458
"C10, C11",0402,2,10p,C106199
"C12, C13",0805,2,22u,C452754
C5,0603,1,10u,C96446
C6,0402,1,10n,C3855387
"C7, C8",0402,2,1u,C52923
"D1, D2, D3",0603,3,RED,C965798
FB1,0603,1,220R,C66810
J1,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,C2894326
"J2, J3, J4",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,C5116483
J6,SMA_Molex_73251-1153_EdgeMount_Horizontal,1,Conn_Coaxial,C43302011
J7,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,C9900212703
R1,0402,1,10k,C1002
"R2, R3, R4, R5, R8, R9",0402,6,1k5,C25867
"R6, R7",0402,2,1k,C49652832
SW1,SW_SPDT_PCM12,1,SW_SPDT,C221841
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C112972
